ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
2609179,0,0,6,6/18/2020,41273.80226,2,1,NA,0,1,0,0,1,2,58,COQUITLAM                                                                                           
7062124,1,0,6,6/23/2020,39336.60097,1,1,NA,1,1,0,0,1,3,54,SURREY                                                                                              
1355946,0,0,6,6/22/2020,379861.5194,1,0,NA,0,1,0,0,1,0,65,VANCOUVER                                                                                           
3934741,0,1,6,9/3/2020,10483.23238,3,1,NA,1,1,2103.083622,0,1,5,63,SURREY                                                                                              
6235989,1,0,6,6/10/2020,26672.049,1,1,NA,0,1,0,0,1,27,62,VANCOUVER                                                                                           
1365339,0,0,6,12/18/2020,36545.41378,4,1,NA,1,0,0,0,1,32,61,BURNABY                                                                                             
3087700,0,0,6,6/24/2020,38548.73012,2,1,NA,0,0,0,0,1,6,74,NEW WESTMINSTER                                                                                     
6467858,0,0,6,4/29/2020,464003.2579,2,1,NA,0,1,0,0,1,0,68,VANCOUVER                                                                                           
4007651,0,0,6,3/25/2020,763390.5697,1,1,NA,0,1,1728.719128,0,1,0,76,NORTH VANCOUVER                                                                                     
7148400,1,0,6,4/20/2020,823749.4491,4,1,NA,1,1,1467.967543,0,1,21,54,COQUITLAM                                                                                           
7247571,0,0,6,7/22/2020,37507.21019,1,1,NA,0,1,0,0,1,0,66,DELTA                                                                                               
2971400,0,0,6,9/12/2020,12186.12858,1,1,NA,0,1,2311.332334,0,1,6,58,PORT COQUITLAM                                                                                      
5065204,0,0,6,2/18/2021,35970.41259,1,1,NA,0,1,0,0,1,0,35,SIDNEY                                                                                              
9975819,0,0,6,4/21/2020,591289.9093,2,0,NA,0,0,0,0,1,0,45,SURREY                                                                                              
3690524,0,1,6,8/31/2020,28605.56276,5,1,NA,0,1,0,0,1,92,44,PORT COQUITLAM                                                                                      
280623,1,0,6,5/6/2020,470955.2217,1,1,NA,0,1,2547.837007,0,1,74,46,VANCOUVER                                                                                           
1055371,0,0,6,12/14/2020,919480.9277,4,0,NA,0,1,0,0,1,3,78,NORTH VANCOUVER                                                                                     
7299591,0,0,6,9/14/2020,793782.8064,5,0,NA,1,1,0,0,1,0,69,NORTH VANCOUVER                                                                                     
536496,1,0,6,2/2/2021,13682.12743,1,1,NA,1,1,88.47640028,0,1,4,49,GIBSONS                                                                                             
6581760,0,0,6,8/25/2020,8614.360171,2,1,NA,0,1,0,0,1,60,56,SURREY                                                                                              
1647988,0,0,6,5/22/2020,636427.7173,1,1,NA,0,1,0,0,1,0,64,LANGLEY                                                                                             
5978812,0,0,6,5/12/2020,1300069.323,3,0,NA,0,1,0,0,1,9,61,SQUAMISH                                                                                            
8772692,1,1,6,5/19/2020,492298.8895,2,1,NA,0,1,0,0,1,0,73,WEST VANCOUVER                                                                                      
6090018,0,0,6,4/28/2020,490901.72,1,0,NA,0,1,919.0806159,0,1,6,56,NORTH VANCOUVER                                                                                     
7599964,0,0,6,12/9/2020,20774.82789,1,1,NA,0,0,0,0,1,0,87,VANCOUVER                                                                                           
539880,0,1,6,9/18/2020,54393.5021,2,1,NA,0,0,0,0,1,62,64,COQUITLAM                                                                                           
8467829,0,0,6,12/9/2020,14485.2745,5,0,NA,0,1,2552.74764,0,1,41,45,VICTORIA                                                                                            
5641299,0,0,6,7/30/2020,48145.76861,2,0,NA,0,1,2304.445097,0,1,10,59,LANGLEY                                                                                             
9831294,0,1,6,8/7/2020,45557.62796,1,1,NA,0,1,1723.115043,0,1,0,27,RICHMOND                                                                                            
7161794,0,0,6,5/22/2020,498738.1387,1,1,221555.2309,1,1,0,0,1,1,31,SURREY                                                                                              
8106094,0,0,6,7/16/2020,23660.52899,1,0,NA,0,1,188.9462904,0,1,29,52,VANCOUVER                                                                                           
8584382,0,0,6,1/6/2021,241856.0227,1,1,NA,1,1,1103.442767,0,1,2,70,NORTH VANCOUVER                                                                                     
7985832,0,0,6,2/12/2021,6184.378483,1,0,NA,1,0,0,0,1,5,45,SURREY                                                                                              
6594947,0,0,6,7/28/2020,799023.2196,2,1,74030.50196,0,0,0,0,1,0,62,SURREY                                                                                              
3211549,0,0,6,3/20/2020,534117.6227,1,1,NA,1,0,0,0,1,59,63,COQUITLAM                                                                                           
1078894,1,0,6,12/9/2020,708467.9642,4,1,NA,0,1,0,0,1,1,71,VICTORIA                                                                                            
1196948,0,0,6,7/15/2020,16250.25039,2,1,NA,0,1,0,0,1,0,52,VANCOUVER                                                                                           
