,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
5793,8241264,0,0,3,3/23/2020,838.46,1,0,,0,1,1726.64063,0,1,27,50,BURNABY                                                                                             ,
5794,8242821,0,0,3,4/23/2020,5476.03,1,1,,0,1,0,0,1,0,45,VANCOUVER                                                                                           ,
5795,8243154,0,0,3,8/14/2020,1604.83,1,0,,0,1,0,0,1,6,44,SURREY                                                                                              ,
5796,8244258,0,0,3,4/28/2020,10,4,0,,0,1,0,0,1,1,46,ABBOTSFORD                                                                                          ,
5797,8244611,0,0,3,2/4/2021,14339.44,3,0,,0,1,0,0,1,5,64,COQUITLAM                                                                                           ,
5798,8246021,0,0,3,7/17/2020,798.04,1,0,,1,1,0,0,1,2,60,VANCOUVER                                                                                           ,
5799,8247306,0,0,3,5/11/2020,448068.0335,2,1,,0,1,1862.357563,1,1,26,48,ABBOTSFORD                                                                                          ,
5800,8247426,0,0,3,6/10/2020,933953.6339,4,0,,0,1,0,1,1,44,40,DELTA                                                                                               ,
5801,8247531,0,0,3,4/28/2020,406518.6598,1,1,,0,1,2170.255916,1,1,1,53,VANCOUVER                                                                                           ,
5802,8248119,0,0,3,5/13/2020,440194.6946,1,1,8084.587358,0,0,0,1,1,0,79,MISSION                                                                                             ,
5803,8250071,0,0,3,5/26/2020,4446.75,1,0,,0,1,2575.862015,0,1,0,60,VICTORIA                                                                                            ,
5804,8250358,0,0,3,4/14/2020,13000.02,2,1,,0,1,0,0,1,0,59,COQUITLAM                                                                                           ,
5805,8250733,1,0,3,12/16/2020,0,1,0,,0,0,0,0,1,0,65,DELTA                                                                                               ,
5806,8251719,0,0,3,12/24/2020,587387.55,3,1,,0,1,0,0,1,4,54,MAPLE RIDGE                                                                                         ,
5807,8252667,1,0,3,4/29/2020,495952.9845,1,1,,1,0,0,1,1,0,66,BURNABY                                                                                             ,
5808,8253586,1,0,3,4/27/2020,794862.3484,3,1,,0,0,0,1,1,0,84,SURREY                                                                                              ,
5809,8253675,1,0,3,1/2/2021,819600.79,2,1,,0,0,0,0,1,0,35,SURREY                                                                                              ,
5810,8256069,0,0,3,12/1/2020,110873.15,3,1,,0,0,0,0,1,4,58,SURREY                                                                                              ,
5811,8256462,0,0,3,5/26/2020,8214.36,2,0,,0,0,0,0,1,123,45,WHITE ROCK                                                                                          ,
5812,8256469,0,0,3,1/12/2021,0,1,1,,0,0,0,0,1,0,48,NEW WESTMINSTER                                                                                     ,
5813,8257270,0,0,3,5/20/2020,7177.66,2,1,,0,0,0,0,1,17,78,COQUITLAM                                                                                           ,
5814,8257521,0,0,3,1/18/2021,57.37,2,0,,0,1,341.0987191,0,1,25,58,COQUITLAM                                                                                           ,
5815,8258563,1,0,3,4/14/2020,8730.49,2,1,,0,1,0,0,1,135,49,SURREY                                                                                              ,
5816,8259434,1,0,3,4/23/2020,432776.2089,1,1,,0,1,0,1,1,109,36,SQUAMISH                                                                                            ,
5817,8263880,0,0,3,2/9/2021,3980.16,4,1,,0,1,0,0,1,10,45,PORT COQUITLAM                                                                                      ,
5818,8265183,1,0,3,12/3/2020,1920.2,1,1,,1,1,0,0,1,3,53,BURNABY                                                                                             ,
5819,8266620,1,0,3,11/4/2020,18283.84,2,1,,1,1,1234.791917,0,1,0,39,PORT MOODY                                                                                          ,
5820,8266877,0,0,3,9/3/2020,4353.58,3,0,,0,1,285.4711219,0,1,0,62,RICHMOND                                                                                            ,
5821,8267260,1,0,3,2/10/2021,760898.23,2,1,,1,1,0,0,1,0,34,CHILLIWACK                                                                                          ,
5822,8267657,1,0,3,4/8/2020,468280.7538,2,0,,0,0,0,1,1,0,63,SURREY                                                                                              ,
5823,8269085,0,0,3,7/23/2020,4629.98,1,0,,0,1,0,0,1,3,75,VICTORIA                                                                                            ,
5824,8270071,1,0,3,1/7/2021,1176.23,2,1,,0,1,0,0,1,57,77,BURNABY                                                                                             ,
5825,8271945,0,0,3,1/8/2021,4778.81,2,0,,1,1,2233.373215,0,1,30,44,FURRY CREEK                                                                                         ,
5826,8271980,1,0,3,2/6/2021,538055.02,2,1,,0,1,248.9516843,0,1,2,69,VANCOUVER                                                                                           ,
5827,8272175,1,0,3,3/25/2020,1205278.96,3,0,,0,0,0,0,1,3,49,VANCOUVER                                                                                           ,
